Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,93.80,96.80,93.80,95.95,6261400,95.95
2016-10-28,95.40,96.15,94.50,95.10,4989000,95.10
2016-10-27,96.55,96.95,95.75,96.25,4040900,96.25
2016-10-26,97.50,97.85,96.85,97.30,3281000,97.30
2016-10-25,99.50,99.50,98.15,98.50,6127400,98.50
2016-10-24,97.05,99.00,97.05,98.95,7591400,98.95
2016-10-21,98.20,98.20,98.20,98.20,000,98.20
2016-10-20,98.00,98.95,97.30,98.20,3886500,98.20
2016-10-19,97.00,97.90,97.00,97.65,3683800,97.65
2016-10-18,97.85,97.95,96.55,97.45,5124200,97.45
2016-10-17,96.40,97.00,95.70,96.45,4901700,96.45
2016-10-14,95.70,97.25,95.70,96.90,5818700,96.90
2016-10-13,95.50,96.35,95.40,95.40,4929200,95.40
2016-10-12,95.00,96.10,95.00,96.10,4591900,96.10
2016-10-11,98.00,98.40,95.05,95.40,14084000,95.40
2016-10-10,98.00,98.00,98.00,98.00,000,98.00
2016-10-07,98.25,98.50,97.50,98.00,5023100,98.00
2016-10-06,98.80,99.05,98.20,98.70,5464000,98.70
2016-10-05,98.50,99.25,98.05,99.25,4699500,99.25
2016-10-04,100.10,100.10,99.05,99.45,3052000,99.45
2016-10-03,99.95,100.50,99.00,99.45,3730700,99.45
2016-09-30,98.50,99.15,98.05,98.60,6769200,98.60
2016-09-29,99.40,100.20,99.25,99.70,4066000,99.70
2016-09-28,98.30,99.35,98.00,99.35,4793900,99.35
2016-09-27,99.00,99.25,98.55,99.00,4681700,99.00
2016-09-26,99.90,99.95,99.00,99.20,3059500,99.20
2016-09-23,100.40,101.40,99.85,100.30,3470300,100.30
2016-09-22,100.60,101.90,100.20,100.40,4875900,100.40
2016-09-21,99.05,99.70,98.40,99.70,7077500,99.70
2016-09-20,100.40,101.00,99.40,99.60,4264100,99.60
2016-09-19,101.00,101.30,99.80,101.20,4079100,101.20
2016-09-16,99.85,99.85,99.85,99.85,000,99.85
2016-09-15,99.70,100.70,99.30,99.85,4301600,99.85
2016-09-14,99.75,100.50,99.00,99.70,3163400,99.70
2016-09-13,100.90,101.00,99.25,99.25,4153000,99.25
2016-09-12,100.90,100.90,99.50,99.50,7738600,99.50
2016-09-09,101.80,103.90,101.50,102.30,5963300,102.30
2016-09-08,101.50,102.60,101.50,102.20,5459200,101.465
2016-09-07,103.00,103.00,102.00,102.10,4926700,101.36572
2016-09-06,102.70,103.20,102.00,102.20,5209500,101.465
2016-09-05,103.30,103.90,102.80,103.20,3620100,102.45781
2016-09-02,100.00,103.80,99.80,102.80,12236700,102.06069
2016-09-01,99.70,99.70,98.70,99.55,6533800,98.83406
2016-08-31,98.75,99.70,98.60,99.70,3698700,98.98298
2016-08-30,99.30,99.70,98.70,99.15,4041600,98.43694
2016-08-29,99.30,99.30,97.80,98.85,2644900,98.13909
2016-08-26,99.50,99.60,98.55,98.75,3664600,98.03981
2016-08-25,98.30,98.35,97.20,98.00,4863900,97.29521
2016-08-24,99.00,99.10,97.85,98.80,3005600,98.08946
2016-08-23,97.80,99.00,97.60,99.00,4776500,98.28801
2016-08-22,97.20,98.20,97.00,98.05,4021200,97.34485
2016-08-19,98.20,98.60,96.80,97.25,4929200,96.5506
2016-08-18,98.80,98.90,98.00,98.15,4575200,97.44413
2016-08-17,98.90,99.25,98.20,98.40,8128100,97.69233
2016-08-16,99.15,99.15,97.05,97.80,8243800,97.09665
2016-08-15,96.25,97.80,96.00,97.80,8386100,97.09665
2016-08-12,94.25,95.90,94.20,95.75,9949400,95.06139
2016-08-11,92.70,94.00,92.00,93.25,4190500,92.57937
2016-08-10,94.30,94.35,93.15,93.95,5125300,93.27433
2016-08-09,93.70,94.75,93.70,94.25,4429500,93.57217
2016-08-08,93.50,94.55,93.00,94.15,6131900,93.4729
2016-08-05,91.90,93.00,91.90,92.50,7000100,91.83476
2016-08-04,91.55,91.65,90.90,91.65,5279900,90.99088
2016-08-03,91.45,91.70,91.05,91.25,9381600,90.59375
2016-08-02,91.75,91.75,91.75,91.75,000,91.09015
2016-08-01,90.85,91.85,90.85,91.75,6220200,91.09015
2016-07-29,90.85,91.35,90.25,90.80,6626400,90.14699
2016-07-28,90.85,91.90,90.80,91.10,7652900,90.44483
2016-07-27,90.10,91.45,90.10,91.35,8800000,90.69303
2016-07-26,88.85,90.30,88.70,90.30,10185300,89.65059
2016-07-25,90.00,90.00,88.50,88.80,8232600,88.16137
2016-07-22,88.35,88.80,88.10,88.40,6965200,87.76425
2016-07-21,88.00,89.50,87.35,89.20,8890400,88.55849
2016-07-20,86.70,87.95,86.70,87.55,7859800,86.92036
2016-07-19,87.70,88.05,86.95,87.85,4470600,87.2182
2016-07-18,86.95,88.00,86.50,87.80,5620600,87.16856
2016-07-15,86.95,87.55,86.10,87.05,7071000,86.42396
2016-07-14,86.25,86.60,85.35,86.45,6476400,85.82827
2016-07-13,85.50,86.15,85.30,85.95,11973800,85.33186
2016-07-12,83.20,85.25,83.00,84.75,12355800,84.1405
2016-07-11,82.95,83.80,82.15,82.60,6480000,82.00596
2016-07-08,83.00,83.00,81.80,81.90,9496800,81.31099
2016-07-07,83.30,83.40,82.65,83.35,5117900,82.75056
2016-07-06,82.00,82.50,80.75,82.40,12119700,81.8074
2016-07-05,84.15,84.20,82.90,83.00,11090500,82.40308
2016-07-04,85.00,85.10,84.05,84.40,11140500,83.79302
2016-07-01,84.55,84.55,84.55,84.55,000,83.94194
2016-06-30,84.00,84.75,83.60,84.55,18077100,83.94194
2016-06-29,83.60,84.20,82.40,82.85,22987500,82.25416
2016-06-28,81.15,82.15,80.60,82.00,27493800,81.41027
2016-06-27,85.00,85.10,82.80,83.50,27902100,82.89949
2016-06-24,89.00,92.60,85.30,87.00,33800100,86.37432
2016-06-23,91.00,92.95,90.80,91.65,10003000,90.99088
2016-06-22,90.30,91.05,90.00,90.75,6932800,90.09735
2016-06-21,90.00,91.20,90.00,91.05,5350000,90.39519
2016-06-20,90.00,91.10,89.90,90.45,6857900,89.7995
2016-06-17,88.35,89.10,88.35,88.70,4774100,88.06209
2016-06-16,87.65,88.20,87.60,87.85,7579100,87.2182
2016-06-15,88.00,89.00,87.80,88.60,6590500,87.96281
2016-06-14,89.40,89.95,88.90,89.05,5348500,88.40958
2016-06-13,90.05,90.85,89.50,89.85,8214600,89.20382
2016-06-10,92.05,92.95,91.50,91.85,7467800,91.18943
2016-06-09,92.50,92.50,92.50,92.50,000,91.83476
2016-06-08,93.00,93.10,92.10,92.50,7075000,91.83476
2016-06-07,93.00,93.10,92.30,92.70,6831500,92.03332
2016-06-06,91.35,92.40,91.10,92.10,6765300,91.43764
2016-06-03,90.80,91.45,90.70,91.35,9235200,90.69303
2016-06-02,89.90,90.65,89.25,90.35,6505700,89.70022
2016-06-01,89.55,90.15,88.40,89.15,10182700,88.50885
2016-05-31,90.25,91.00,89.50,90.20,13837200,89.5513
2016-05-30,90.25,90.40,89.60,90.30,9852400,89.65059
2016-05-27,89.55,91.00,89.30,90.35,5298800,89.70022
2016-05-26,89.80,89.90,89.00,89.60,5934400,88.95562
2016-05-25,89.50,90.50,89.40,89.90,7263600,89.25346
2016-05-24,88.15,89.10,88.15,88.75,3928000,88.11173
2016-05-23,89.00,89.80,87.95,88.15,5568600,87.51605
2016-05-20,88.00,89.75,88.00,89.20,5626700,88.55849
2016-05-19,88.70,89.10,88.30,88.45,5012100,87.81388
2016-05-18,89.70,90.30,89.00,89.10,5716800,88.45921
2016-05-17,91.00,92.20,91.00,91.95,6335700,89.45202
2016-05-16,91.00,91.65,90.65,91.45,4943400,88.9656
2016-05-13,92.00,92.10,90.80,91.15,11460000,88.67375
2016-05-12,92.25,92.45,92.00,92.20,5913500,89.69523
2016-05-11,93.65,94.00,92.60,93.05,5476300,90.52214
2016-05-10,91.90,94.55,91.90,93.85,5996300,91.3004
2016-05-09,93.25,93.40,92.20,92.55,4480500,90.03572
2016-05-06,93.30,93.35,92.20,92.70,7472500,90.18164
2016-05-05,92.25,92.90,92.25,92.60,5119400,90.08436
2016-05-04,92.00,93.15,91.60,93.00,7407300,90.47349
2016-05-03,93.00,93.30,92.25,92.40,6976200,89.8898
2016-05-02,93.00,93.00,93.00,93.00,000,90.47349
2016-04-29,93.75,94.20,92.70,93.00,9844400,90.47349
2016-04-28,95.05,95.95,93.90,94.20,9132000,91.64089
2016-04-27,95.00,96.15,94.40,94.55,7212000,91.98139
2016-04-26,96.00,96.30,95.05,95.40,7989900,92.8083
2016-04-25,96.00,96.75,96.00,96.40,3845800,93.78113
2016-04-22,97.10,97.40,96.85,96.90,6406200,94.26755
2016-04-21,97.15,97.80,97.15,97.50,6515600,94.85124
2016-04-20,97.05,97.35,97.00,97.15,6109300,94.51075
2016-04-19,98.15,98.20,97.00,97.40,6393600,94.75396
2016-04-18,98.00,98.80,97.10,97.45,8492300,94.8026
2016-04-15,99.00,99.55,98.30,99.30,4162700,96.60235
2016-04-14,99.50,100.00,98.35,99.00,7605300,96.31049
2016-04-13,98.60,99.50,98.30,99.20,8913200,96.50506
2016-04-12,98.50,98.70,97.50,97.60,6030400,94.94853
2016-04-11,98.70,99.80,98.45,98.95,3645000,96.26185
2016-04-08,98.25,99.10,98.00,99.00,5298600,96.31049
2016-04-07,100.30,100.80,99.00,99.25,5044100,96.5537
2016-04-06,98.80,99.90,98.35,99.80,3154200,97.08876
2016-04-05,99.50,100.20,98.35,98.80,5957100,96.11593
2016-04-04,100.80,100.80,100.80,100.80,000,98.0616
2016-04-01,100.50,101.80,100.20,100.80,3514100,98.0616
2016-03-31,102.20,102.70,100.50,100.70,6723300,97.96431
2016-03-30,100.70,102.70,100.50,102.30,6315700,99.52085
2016-03-29,100.60,100.90,99.40,100.30,4527400,97.57518
2016-03-28,100.30,100.30,100.30,100.30,000,97.57518
2016-03-25,100.30,100.30,100.30,100.30,000,97.57518
2016-03-24,101.40,101.40,100.10,100.30,3764800,97.57518
2016-03-23,101.50,103.00,100.90,101.40,5052000,98.6453
2016-03-22,102.00,102.50,100.60,102.40,6629300,99.61813
2016-03-21,101.20,101.20,99.85,100.00,6013000,97.28333
2016-03-18,99.30,101.10,98.35,100.60,9910600,97.86703
2016-03-17,99.80,99.80,98.40,98.85,6872900,96.16457
2016-03-16,99.00,99.65,98.50,99.10,4466900,96.40778
2016-03-15,97.90,99.50,97.90,98.90,4660000,96.21321
2016-03-14,100.00,100.00,98.10,99.10,4792300,96.40778
2016-03-11,97.80,99.55,97.45,99.15,5415000,96.45642
2016-03-10,97.50,98.95,97.30,98.30,6435500,95.62951
2016-03-09,97.00,97.65,96.55,97.30,3911700,94.65668
2016-03-08,98.25,98.25,96.55,97.10,2707800,94.46211
2016-03-07,98.80,99.00,97.55,98.15,4782300,95.48359
2016-03-04,98.75,99.25,97.70,98.85,6424900,96.16457
2016-03-03,98.80,99.20,97.00,97.55,4031600,94.89989
2016-03-02,96.00,98.00,95.85,97.70,7103900,95.04581
2016-03-01,95.00,95.70,94.00,94.80,4521600,92.2246
2016-02-29,94.90,95.30,93.90,93.95,5193800,91.39768
2016-02-26,95.05,95.70,94.25,95.10,7720100,92.51644
2016-02-25,96.50,96.50,93.00,93.70,6709600,91.15447
2016-02-24,95.00,96.55,94.80,95.55,3745200,92.95422
2016-02-23,96.00,96.65,95.20,95.40,4381800,92.8083
2016-02-22,96.45,97.35,95.80,96.00,3691300,93.39199
2016-02-19,95.95,96.65,95.50,95.60,3486000,93.00286
2016-02-18,96.70,97.00,95.35,95.85,4627500,93.24607
2016-02-17,96.50,96.90,94.70,95.05,4581400,92.46781
2016-02-16,94.00,95.45,93.60,94.90,6120500,92.32188
2016-02-15,92.55,93.85,92.55,93.50,7392500,90.95991
2016-02-12,92.50,93.50,91.80,91.95,7474900,89.45202
2016-02-11,95.00,95.00,92.80,93.60,10679000,91.05719
2016-02-10,95.15,95.15,95.15,95.15,000,92.56509
2016-02-09,95.15,95.15,95.15,95.15,000,92.56509
2016-02-08,95.15,95.15,95.15,95.15,000,92.56509
2016-02-05,98.00,98.00,95.00,95.15,4700500,92.56509
2016-02-04,96.35,98.00,96.25,96.90,7172200,94.26755
2016-02-03,96.05,96.05,94.35,95.35,6534500,92.75965
2016-02-02,96.95,97.55,96.25,97.10,3760000,94.46211
2016-02-01,99.25,99.25,96.55,97.55,8058600,94.89989
2016-01-29,94.80,96.50,94.45,96.35,10104500,93.73248
2016-01-28,94.45,94.65,93.90,94.50,6497400,91.93274
2016-01-27,94.80,94.80,92.80,93.15,4402600,90.61942
2016-01-26,93.50,93.95,92.35,93.05,3881500,90.52214
2016-01-25,94.80,95.50,94.00,94.20,5897600,91.64089
2016-01-22,94.40,94.60,93.20,94.55,6981500,91.98139
2016-01-21,94.00,95.65,92.00,93.20,9387000,90.66806
2016-01-20,95.00,96.00,93.00,93.60,9493500,91.05719
2016-01-19,96.65,97.10,96.30,96.50,6939500,93.87841
2016-01-18,97.00,97.45,96.45,96.70,5936700,94.07297
2016-01-15,97.45,97.90,97.05,97.55,7867100,94.89989
2016-01-14,98.50,98.50,97.00,97.90,5936100,95.24038
2016-01-13,98.50,99.65,97.55,99.05,7775700,96.35914
2016-01-12,98.50,98.55,96.95,97.00,4286000,94.36483
2016-01-11,99.00,99.15,97.50,97.95,7568200,95.28902
2016-01-08,100.90,101.90,99.35,99.35,6934600,96.65098
2016-01-07,102.60,102.80,100.10,100.40,7203100,97.67246
2016-01-06,104.00,104.00,101.60,102.50,4212000,99.71541
2016-01-05,104.40,104.40,102.40,102.60,4310200,99.81269
2016-01-04,104.10,104.40,102.10,103.00,5161000,100.20183
2016-01-01,104.60,104.60,104.60,104.60,000,101.75836
2015-12-31,104.90,104.90,104.30,104.60,1120900,101.75836
2015-12-30,105.40,105.40,103.80,104.70,1883900,101.85564
2015-12-29,104.10,105.00,104.00,104.90,3241200,102.05021
2015-12-28,104.20,104.40,103.70,103.90,2633100,101.07738
2015-12-25,104.70,104.70,104.70,104.70,000,101.85564
2015-12-24,104.90,105.00,104.30,104.70,1414600,101.85564
2015-12-23,103.90,104.50,103.30,104.40,5589100,101.5638
2015-12-22,103.00,103.70,102.80,103.40,3947000,100.59096
2015-12-21,103.20,103.80,102.60,103.00,4431700,100.20183
2015-12-18,101.20,103.60,101.20,103.00,8300900,100.20183
2015-12-17,101.30,102.50,100.90,101.20,8489300,98.45072
2015-12-16,100.50,102.60,100.50,102.40,7743000,99.61813
2015-12-15,101.00,101.50,100.10,100.10,5868700,97.38061
2015-12-14,100.00,102.00,99.20,101.50,5679700,98.74258
2015-12-11,102.40,102.40,101.00,101.30,3820600,98.54801
2015-12-10,101.30,101.80,100.80,101.20,3680100,98.45072
2015-12-09,102.10,102.20,101.10,101.80,4864500,99.03443
2015-12-08,103.30,103.30,101.50,101.80,6990000,99.03443
2015-12-07,103.60,104.10,103.30,103.50,6255300,100.68824
2015-12-04,103.00,103.90,102.40,103.70,4621100,100.88281
2015-12-03,103.50,104.20,102.90,103.30,3064300,100.49368
2015-12-02,104.20,104.20,102.90,103.60,4991500,100.78553
2015-12-01,103.10,103.60,101.60,103.30,6685400,100.49368
2015-11-30,102.20,102.50,101.00,101.70,8615400,98.93714
2015-11-27,103.00,103.30,101.10,101.20,5286400,98.45072
2015-11-26,105.00,105.20,102.80,102.90,3612100,100.10455
2015-11-25,104.90,105.10,102.90,103.60,5449300,100.78553
2015-11-24,103.60,104.10,102.50,104.00,3717500,101.17466
2015-11-23,104.10,104.40,103.10,104.00,3221200,101.17466
2015-11-20,104.00,104.50,102.30,104.50,4013500,101.66108
2015-11-19,103.50,104.20,103.00,103.80,4970800,100.9801
2015-11-18,102.20,102.70,101.70,102.00,4499100,99.22899
2015-11-17,103.00,103.10,101.70,102.00,4849000,99.22899
2015-11-16,100.50,101.30,100.50,101.00,5168700,98.25616
2015-11-13,102.70,102.80,101.70,102.30,4256800,99.52085
2015-11-12,102.50,104.50,102.20,103.90,4680100,101.07738
2015-11-11,101.50,103.60,101.50,102.10,3529800,99.32628
2015-11-10,102.80,102.90,101.70,101.90,6533300,99.13171
2015-11-09,103.70,104.20,103.00,103.30,4581900,100.49368
2015-11-06,103.60,104.40,103.60,104.10,3538400,101.27194
2015-11-05,105.50,105.90,104.40,104.80,4235500,101.95293
2015-11-04,104.30,107.00,104.30,105.80,6185900,102.92576
2015-11-03,104.70,105.40,103.80,104.20,3722600,101.36922
2015-11-02,105.00,105.90,103.30,103.70,7057300,100.88281
2015-10-30,107.20,107.80,106.20,106.50,4792300,103.60674
2015-10-29,106.90,107.50,106.50,106.50,3928100,103.60674
2015-10-28,107.70,108.50,107.00,107.20,3324400,104.28772
2015-10-27,107.10,107.90,106.40,107.40,4326500,104.4823
2015-10-26,108.30,108.90,106.10,106.50,5432200,103.60674
2015-10-23,109.00,109.50,108.00,108.20,5702600,105.26056
2015-10-22,106.30,108.10,105.60,107.50,5808700,104.57958
2015-10-21,106.40,106.40,106.40,106.40,000,103.50946
2015-10-20,107.00,107.30,106.10,106.40,3585600,103.50946
2015-10-19,107.50,107.80,106.60,107.50,2702200,104.57958
2015-10-16,107.60,107.90,106.40,107.50,4588900,104.57958
2015-10-15,105.70,107.90,105.50,107.70,6334300,104.77414
2015-10-14,105.30,106.10,104.60,106.00,4656200,103.12033
2015-10-13,104.30,106.30,104.30,105.60,6334300,102.73119
2015-10-12,102.90,104.90,102.60,104.80,6145400,101.95293
2015-10-09,103.20,104.20,102.20,102.40,4397100,99.61813
2015-10-08,104.00,104.40,102.30,102.60,6759600,99.81269
2015-10-07,103.70,104.40,102.20,104.10,16736400,101.27194
2015-10-06,105.00,105.30,103.00,103.80,4859700,100.9801
2015-10-05,104.60,104.60,103.30,103.90,3464500,101.07738
2015-10-02,102.20,103.50,102.00,103.40,9627800,100.59096
2015-10-01,100.20,100.20,100.20,100.20,000,97.47789
2015-09-30,100.50,101.40,99.80,100.20,7425300,97.47789
2015-09-29,99.50,99.70,98.50,98.60,10099700,95.92136
2015-09-28,100.80,100.80,100.80,100.80,000,98.0616
2015-09-25,101.20,101.80,100.50,100.80,5504400,98.0616
2015-09-24,102.80,102.80,100.70,100.90,6744600,98.15888
2015-09-23,102.10,103.40,101.00,101.50,6635400,98.74258
2015-09-22,103.50,104.90,103.00,103.00,6414400,100.20183
2015-09-21,101.70,104.20,101.70,103.50,7070100,100.00726
2015-09-18,103.70,104.70,103.50,103.60,7519900,100.10389
2015-09-17,106.70,106.80,102.40,103.70,9816700,100.20051
2015-09-16,105.30,106.70,104.30,106.00,6970300,102.4229
2015-09-15,105.10,105.30,103.50,104.20,6375100,100.68364
2015-09-14,104.90,106.20,104.20,105.20,6544600,101.64989
2015-09-11,108.70,109.50,104.60,104.90,9022000,101.36002
2015-09-10,108.90,109.00,107.20,108.10,6489400,104.45203
2015-09-09,106.00,111.80,106.00,109.90,18049400,106.19129
2015-09-08,101.20,104.80,100.50,103.60,6639000,100.10389
2015-09-07,101.50,102.80,100.60,101.00,4919900,97.59163
2015-09-04,104.00,104.00,100.30,102.00,6967200,98.55788
2015-09-03,102.60,102.60,102.60,102.60,000,99.13763
2015-09-02,101.30,103.50,101.00,102.60,7448000,99.13763
2015-09-01,102.50,103.60,100.90,101.20,7067400,97.78488
2015-08-31,105.80,105.80,102.10,103.30,6308900,99.81402
2015-08-28,106.80,106.80,104.50,104.60,12067900,101.07014
2015-08-27,102.90,105.00,102.00,103.90,11653300,100.39377
2015-08-26,99.50,102.40,99.00,100.30,16202400,96.91525
2015-08-25,98.00,103.80,97.50,102.30,19124900,98.84776
2015-08-24,99.40,100.60,98.10,98.55,16756700,95.22431
2015-08-21,103.00,103.70,102.00,102.60,14662500,99.13763
2015-08-20,107.80,108.70,105.40,105.80,10544700,102.22965
2015-08-19,113.00,113.00,108.50,108.70,7088200,105.03178
2015-08-18,114.00,114.10,110.70,110.90,3959500,107.15754
2015-08-17,113.70,114.30,112.50,113.10,2544100,109.2833
2015-08-14,111.80,114.40,111.70,113.70,5195100,109.86305
2015-08-13,111.20,112.70,111.20,111.70,4301900,107.93054
2015-08-12,113.10,114.10,111.50,111.80,6674800,108.02717
2015-08-11,116.40,116.80,112.60,114.20,6936700,110.34618
2015-08-10,115.90,116.30,113.80,115.90,4490600,111.98881
2015-08-07,115.00,116.40,114.50,115.30,8881400,111.40906
2015-08-06,112.50,114.70,112.50,114.20,4406400,110.34618
2015-08-05,115.00,115.00,112.90,113.10,3349100,109.2833
2015-08-04,115.00,115.00,112.70,114.30,2980900,110.44281
2015-08-03,115.50,116.00,113.50,113.70,5342400,109.86305
2015-07-31,113.00,115.50,112.60,115.10,5442900,111.21581
2015-07-30,113.30,113.80,112.20,112.40,4051700,108.60692
2015-07-29,112.00,113.10,111.30,111.70,5766800,107.93054
2015-07-28,112.30,115.60,110.80,111.80,7050100,108.02717
2015-07-27,113.90,114.50,111.00,111.30,5937400,107.54405
2015-07-24,114.00,115.40,114.00,114.60,3877400,110.73268
2015-07-23,114.40,115.80,114.20,114.40,4304800,110.53943
2015-07-22,115.10,116.30,114.30,114.50,4243800,110.63606
